tick,day,alive,sick,cumulative_deaths,cumulative_births
303,303.0,98,12,4,2
304,304.0,98,13,4,2
305,305.0,98,14,4,2
306,306.0,98,14,4,2
307,307.0,98,12,4,2
308,308.0,98,17,4,2
309,309.0,98,16,4,2
310,310.0,98,18,4,2
311,311.0,98,20,4,2
312,312.0,98,19,4,2
313,313.0,98,20,4,2
314,314.0,98,19,4,2
315,315.0,98,21,4,2
316,316.0,98,20,4,2
317,317.0,98,21,4,2
318,318.0,97,21,5,2
319,319.0,97,20,5,2
320,320.0,97,16,5,2
321,321.0,97,15,5,2
322,322.0,97,18,5,2
323,323.0,96,18,6,2
324,324.0,96,21,6,2
325,325.0,96,21,6,2
326,326.0,95,22,7,2
327,327.0,95,21,7,2
328,328.0,95,22,7,2
329,329.0,94,19,8,2
330,330.0,93,23,9,2
331,331.0,92,24,10,2
332,332.0,92,25,10,2
333,333.0,91,26,11,2
334,334.0,91,25,11,2
335,335.0,91,24,11,2
336,336.0,91,21,11,2
337,337.0,89,17,13,2
338,338.0,89,10,13,2
339,339.0,89,15,13,2
340,340.0,90,16,13,3
341,341.0,90,15,13,3
342,342.0,90,18,13,3
343,343.0,90,16,13,3
344,344.0,89,17,14,3
345,345.0,90,18,14,4
346,346.0,90,21,14,4
347,347.0,90,21,14,4
348,348.0,90,20,14,4
349,349.0,90,18,14,4
350,350.0,87,16,17,4
351,351.0,87,16,17,4
352,352.0,87,19,17,4
353,353.0,87,21,17,4
354,354.0,89,24,17,6
355,355.0,89,24,17,6
356,356.0,90,25,17,7
357,357.0,89,20,18,7
358,358.0,89,16,18,7
359,359.0,90,13,18,8
360,360.0,89,12,19,8
361,361.0,89,10,19,8
362,362.0,89,10,21,10
363,363.0,89,13,21,10
364,364.0,89,15,21,10
365,365.0,89,16,21,10
